deployment_code,location,species,pi_name,time_coverage_start,base_station
wd04,Davis,Weddell seal,HINDELL,2011,
wd06,Weddell Sea,,AWI,2014,
wd07,Weddell Sea,Weddell seal,AWI,2016,
wd09,Weddell Sea,Weddell seal,CNRSPEPS,2017,
wd1,Davis,Weddell seal,HINDELL,2006,
wd10,Dumont D'Urville,Weddell seal,CNRSPEPS,2017,DDU
wd11,Weddell Sea,Weddell seal,CNRSPEPS,2018,
wd12,Dumont D'Urville,Weddell seal,CNRSPEPS,2020,DDU
wd13,Dumont D'Urville,Weddell seal,CNRSPEPS,2019,DDU
wd3,Dumont D'Urville,Weddell seal,HINDELL,2007,DDU
